"subject","predicate","object","type_s","type_o","urgency_level","recommended_action","safe_action","contraindicated_for","source_reference","confidence_level","last_updated"
"Herbal slimming products","AVOID_IN","Unknown ingredients","Action","Condition","routine","Avoid non-regulated weight-loss products","Seek dietitian advice","All","https://www.nhs.uk/live-well/healthy-weight/","high","2025-11-10"
"OTC sleep aids (antihistamines)","AVOID_IN","Elderly/cognitive effects","Action","Condition","routine","Avoid routine use; next-day drowsiness/falls","Try CBT-I and sleep hygiene","Elderly","https://www.nhs.uk/conditions/insomnia/treatment/","high","2025-11-10"
"Herbal kava/kava-kava","AVOID_IN","Liver toxicity risk","Action","Condition","routine","Avoid due to liver risk","Seek safer anxiety strategies","Liver disease","https://www.nhs.uk/medicines/herbal-medicines/","high","2025-11-10"
"Unverified supplements","AVOID_IN","Polypharmacy","Action","Condition","routine","Avoid mixing many supplements with prescriptions","Review with pharmacist","Polypharmacy","https://www.cdc.gov/medicationsafety/basics.html","high","2025-11-10"
"ORS","SAFE_FOR","Dehydration (adults)","Action","Condition","routine","Use WHO ORS for fluid replacement","Frequent small sips; seek care if worsening","None","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"ORS","SAFE_FOR","Childhood diarrhea (with advice)","Action","Condition","routine","Use ORS at home; seek care if red flags","Continue feeding/breastfeeding","Children","https://www.who.int/health-topics/diarrhoeal-disease","high","2025-11-10"
"Honey","SAFE_FOR","Sore throat (adults)","Action","Condition","routine","May soothe throat","Use in warm liquids; avoid infants","Infants <1","https://www.nhs.uk/conditions/sore-throat/","high","2025-11-10"
"Salt-water gargle","SAFE_FOR","Sore throat","Action","Condition","routine","Provides temporary relief","Gargle warm saline several times daily","None","https://www.nhs.uk/conditions/sore-throat/","medium","2025-11-10"
"Warm compress","SAFE_FOR","Muscle strain","Action","Condition","routine","Use to relax tight muscles","Apply 15–20 min with cloth barrier","None","https://www.nhs.uk/conditions/sprains-and-strains/","high","2025-11-10"
"Cold compress","SAFE_FOR","Acute sprain/bruise","Action","Condition","routine","Use to reduce swelling pain","Wrap ice; limit contact time","None","https://www.nhs.uk/conditions/sprains-and-strains/","high","2025-11-10"
"Elevation of limb","SAFE_FOR","Swelling after injury","Action","Condition","routine","Elevate above heart level","Combine with rest and compression if advised","None","https://www.nhs.uk/conditions/sprains-and-strains/","high","2025-11-10"
"Saline nasal spray","SAFE_FOR","Nasal congestion","Action","Condition","routine","Use for blocked nose safely","Suitable for hypertension/heart disease","Hypertension","https://www.nhs.uk/conditions/common-cold/","high","2025-11-10"
"Breathing exercises","SAFE_FOR","Anxiety/panic","Action","Condition","routine","Practice slow diaphragmatic breathing","Use 4-7-8 or boxed breathing","None","https://www.nhs.uk/conditions/stress-anxiety-depression/self-help/","high","2025-11-10"
"Gentle mobility","SAFE_FOR","Back pain (non-specific)","Action","Condition","routine","Keep moving gently; avoid bed rest","Pace activities; heat if helps","None","https://www.nhs.uk/conditions/back-pain/treatment/","high","2025-11-10"
"Foot elevation/skin care","SAFE_FOR","Ankle swelling (mild)","Action","Condition","routine","Elevate; moisturize; consider compression if advised","Seek care if pain redness fever","None","https://www.nhs.uk/conditions/oedema/","high","2025-11-10"
"Hydration","SAFE_FOR","Most mild illnesses","Action","Condition","routine","Drink adequate fluids","Use ORS if dehydrated signs","None","https://www.cdc.gov/healthywater/drinking/nutrition/","high","2025-11-10"
"Light clothing/room ventilation","SAFE_FOR","Fever comfort","Action","Condition","routine","Keep cool and rest","Monitor red flags","None","https://www.nhs.uk/conditions/fever-in-adults/","high","2025-11-10"
"Handwashing","SAFE_FOR","Infection prevention","Action","Condition","routine","Wash hands 20 seconds regularly","Use soap and water or sanitizer","None","https://www.who.int/campaigns/world-hand-hygiene-day","high","2025-11-10"
"Mask when ill","SAFE_FOR","Respiratory symptoms","Action","Condition","routine","Wear mask around others for a few days","Improve ventilation at home","None","https://www.cdc.gov/respiratory-viruses/guidance/","high","2025-11-10"
"Avoid smoke exposure","SAFE_FOR","Cough/wheeze","Action","Condition","routine","Stay away from smoke and pollution","Use reliever if prescribed","Asthma","https://www.who.int/health-topics/air-pollution","high","2025-11-10"
"Eye irrigation with clean water","SAFE_FOR","Minor eye irritant","Action","Condition","urgent","Rinse for 10–15 minutes and seek help if pain persists","Do not rub eye or wear lenses","None","https://www.nhs.uk/conditions/eye-injury/","high","2025-11-10"
"Wound cleaning with clean water","SAFE_FOR","Minor cut","Action","Condition","routine","Rinse and apply sterile dressing","Seek tetanus advice if needed","None","https://www.nhs.uk/conditions/cuts-and-grazes/","high","2025-11-10"
"Do not induce vomiting","SAFE_FOR","Suspected poisoning","Action","Condition","emergency","Call poison control/emergency; follow instructions","Keep product container for clinicians","None","https://www.cdc.gov/poisoning/","high","2025-11-10"
"Recovery position","SAFE_FOR","Unconscious but breathing","Action","Condition","emergency","Place in recovery position and call emergency services","Monitor breathing until help arrives","None","https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-do-i-put-someone-in-the-recovery-position/","high","2025-11-10"
"Do not give fluids","AVOID_IN","Severe vomiting/altered consciousness","Action","Condition","urgent","Avoid oral fluids; seek urgent care","Prevent aspiration; wait for clinician","Altered consciousness","https://www.nhs.uk/conditions/unconsciousness/","high","2025-11-10"
"Avoid hot packs on new burn","AVOID_IN","Burn injuries","Action","Condition","routine","Cool burn with running water 20 minutes","Do not apply creams or ice","Burns","https://www.nhs.uk/conditions/burns-and-scalds/","high","2025-11-10"
"Avoid oil/toothpaste on burns","AVOID_IN","Burn management myths","Action","Condition","routine","Use water cooling only; cover with cling film loosely","Seek care if large/deep/face/genitals","Burns","https://www.nhs.uk/conditions/burns-and-scalds/","high","2025-11-10"
"Avoid tight tourniquets","AVOID_IN","Bleeding first aid","Action","Condition","routine","Use direct firm pressure instead","Only trained use tourniquet when life-threatening","Bleeding","https://www.cdc.gov/first-aid/bleeding.html","high","2025-11-10"
"Avoid giving food/drink","AVOID_IN","Possible stroke/aspiration risk","Action","Condition","emergency","Do not give anything by mouth; call emergency services","Note time of symptom onset","Stroke","https://www.nhs.uk/conditions/stroke/","high","2025-11-10"
"Avoid driving","AVOID_IN","Severe dizziness/blurred vision","Action","Condition","urgent","Stop driving; seek medical review","Arrange safe transport","Dizziness/vision","https://www.nhs.uk/conditions/dizziness/","high","2025-11-10"
"Avoid strenuous exercise","AVOID_IN","Acute chest pain/breathlessness","Action","Condition","emergency","Rest and call emergency services","Sit upright and keep calm","Chest symptoms","https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-go-to-ae/","high","2025-11-10"
"Avoid NSAIDs","AVOID_IN","History of GI bleed","Action","Condition","routine","Discuss safer pain plans","Consider paracetamol if appropriate","GI bleed history","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"Avoid mixing cold remedies","AVOID_IN","Double dosing risk","Action","Condition","routine","Use single-ingredient products when possible","Read labels carefully","All","https://www.cdc.gov/medicationsafety/basics.html","high","2025-11-10"
"Avoid late caffeine","AVOID_IN","Insomnia","Action","Condition","routine","Cut off caffeine from mid-afternoon","Use sleep hygiene steps","Insomnia","https://www.nhs.uk/conditions/insomnia/treatment/","high","2025-11-10"
"Avoid alcohol as sleep aid","AVOID_IN","Insomnia","Action","Condition","routine","Do not use alcohol for sleep","Try CBT-I strategies","Insomnia","https://www.nhs.uk/conditions/insomnia/treatment/","high","2025-11-10"
"Avoid tight garments","AVOID_IN","Varicose veins/leg swelling","Action","Condition","routine","Avoid restrictive clothing","Elevate legs; walk regularly","Leg swelling","https://www.nhs.uk/conditions/varicose-veins/","high","2025-11-10"
"Avoid high heels long periods","AVOID_IN","Back/knee pain","Action","Condition","routine","Limit use to reduce strain","Use supportive footwear","Back/knee pain","https://www.nhs.uk/live-well/exercise/","medium","2025-11-10"
"Avoid unboiled water","AVOID_IN","Travel diarrhea risk","Action","Condition","routine","Drink sealed/boiled water","Use ORS if diarrhea develops","Travel","https://www.cdc.gov/healthywater/drinking/travelers/index.html","high","2025-11-10"
"Avoid raw shellfish","AVOID_IN","Liver disease/pregnancy","Action","Condition","routine","Avoid infection risk foods","Choose fully cooked seafood","Liver disease/pregnancy","https://www.nhs.uk/pregnancy/keeping-well/foods-to-avoid/","high","2025-11-10"
"Avoid sauna/overheating","AVOID_IN","Pregnancy (early)","Action","Condition","routine","Avoid high heat exposure","Keep cool and hydrated","Pregnancy","https://www.nhs.uk/pregnancy/keeping-well/foods-to-avoid/ (heat guidance)","medium","2025-11-10"
"Avoid prolonged standing","AVOID_IN","Pregnancy varicosities","Action","Condition","routine","Take breaks; elevate legs","Use maternity support stockings if advised","Pregnancy","https://www.nhs.uk/pregnancy/related-conditions/common-symptoms/swollen-ankles-feet-hands/","medium","2025-11-10"
"Avoid abrupt med stopping","AVOID_IN","Antidepressants/anticonvulsants","Action","Condition","routine","Do not stop suddenly; consult prescriber","Follow taper plan if needed","Mental/neurological","https://www.nhs.uk/mental-health/medicines/","high","2025-11-10"
"Avoid sharing inhalers","AVOID_IN","Infection and dosing risks","Action","Condition","routine","Use personal inhalers only","Carry your own reliever","Asthma/COPD","https://ginasthma.org/","high","2025-11-10"
"Avoid herbal + anticoagulant mix","AVOID_IN","Bleeding risk","Action","Condition","routine","Check with clinician before combining","Monitor for bruising/bleeds","Anticoagulant therapy","https://www.nhs.uk/conditions/warfarin/","high","2025-11-10"
"Avoid high-dose ibuprofen","AVOID_IN","Older adults/fall risk","Action","Condition","routine","Prefer lowest effective dose if needed and under advice","Consider paracetamol plans","Elderly","https://www.nhs.uk/medicines/ibuprofen/","high","2025-11-10"
"Avoid long car travel without breaks","AVOID_IN","DVT risk","Action","Condition","routine","Walk/stretch every 1–2 hours","Hydrate; consider stockings if advised","DVT risk","https://www.nhs.uk/conditions/deep-vein-thrombosis-dvt/","high","2025-11-10"
"Avoid high-impact exercise","AVOID_IN","Osteoarthritis flare","Action","Condition","routine","Choose low-impact activities (swim/cycle)","Warm up and pace activity","Osteoarthritis","https://www.nhs.uk/conditions/osteoarthritis/","high","2025-11-10"
"Avoid tight glucose control alone","AVOID_IN","Diabetes with frequent hypos","Action","Condition","routine","Discuss targets with clinician to reduce hypos","Carry fast sugar and ID","Diabetes","https://www.nhs.uk/conditions/hypoglycaemia/","high","2025-11-10"
"Avoid alcohol with antibiotics (some)","AVOID_IN","Metronidazole/linezolid interaction","Action","Condition","routine","Follow specific antibiotic advice on alcohol","Ask pharmacist if unsure","Antibiotics","https://www.nhs.uk/common-health-questions/medicines/is-it-safe-to-drink-alcohol-when-taking-antibiotics/","high","2025-11-10"
"Avoid sports while dizzy","AVOID_IN","Concussion/post-viral dizziness","Action","Condition","routine","Rest until cleared by clinician","Return gradually under guidance","Dizziness/concussion","https://www.nhs.uk/conditions/concussion/","high","2025-11-10"
"Avoid swimming with ear infection","AVOID_IN","Otitis externa","Action","Condition","routine","Keep ear dry during treatment","Use ear protection after recovery","Ear infection","https://www.nhs.uk/conditions/otitis-externa/","high","2025-11-10"
"Avoid flying with severe sinusitis","AVOID_IN","Barotrauma risk","Action","Condition","routine","Delay travel until improved","Use saline sprays and medical advice","Sinusitis","https://www.nhs.uk/conditions/sinusitis/","medium","2025-11-10"
"Avoid hot tubs with open wounds","AVOID_IN","Infection risk","Action","Condition","routine","Keep wound clean and covered","Seek care if redness/pus/fever","Wounds","https://www.nhs.uk/conditions/cuts-and-grazes/","high","2025-11-10"
"Avoid barefoot walking","AVOID_IN","Diabetic foot risk","Action","Condition","routine","Wear protective footwear indoors/outdoors","Daily foot checks","Diabetes","https://www.who.int/health-topics/diabetes","high","2025-11-10"
"Hypertension","BACKED_BY","ICMR hypertension protocol","Condition","Guideline","routine","Use guideline for diagnosis, risk stratification, lifestyle and medication pathways","Follow BP targets, lifestyle changes and medication titration per protocol","","https://icmr.gov.in/","high","2025-11-10"
"Hypertension","BACKED_BY","NICE NG136 (Hypertension)","Condition","Guideline","routine","Provides diagnosis thresholds, ambulatory/home BP monitoring and stepwise treatment","Use validated monitors, document readings and follow titration steps","","https://www.nice.org.uk/guidance/ng136","high","2025-11-10"
"Diabetes care","BACKED_BY","WHO Diabetes Standards","Condition","Guideline","routine","Guidance on diagnosis, glycaemic targets, screening for complications and education","Regular glucose monitoring, lifestyle modification and structured education","","https://www.who.int/health-topics/diabetes","high","2025-11-10"
"Diabetes management","BACKED_BY","ICMR diabetes protocol","Condition","Guideline","routine","Nationally-relevant protocols for screening, treatment and complication prevention","Follow local treatment algorithms and referral pathways","","https://icmr.gov.in/","high","2025-11-10"
"Sepsis management","BACKED_BY","Surviving Sepsis Campaign / WHO sepsis guidance","Condition","Guideline","emergency","Time-critical bundles for recognition, resuscitation and antimicrobials","Early recognition, prompt fluids/antibiotics and organ support per bundle","","https://www.who.int/health-topics/sepsis","high","2025-11-10"
"Pneumonia in children","BACKED_BY","WHO IMCI (Integrated Management of Childhood Illness)","Condition","Guideline","urgent","Triage, classification and outpatient vs inpatient care pathways for childhood pneumonia","Follow IMCI danger signs and ORS/antibiotic guidance for children","","https://www.who.int/teams/health-care-delivery/child-health","high","2025-11-10"
"Tuberculosis","BACKED_BY","WHO TB guidelines","Condition","Guideline","urgent","Diagnosis, drug regimens, MDR-TB management and public-health reporting","Adherence support, contact tracing and directly observed therapy principles","","https://www.who.int/teams/global-tuberculosis-programme","high","2025-11-10"
"Asthma management","BACKED_BY","GINA strategy (Global Initiative for Asthma)","Condition","Guideline","routine","Stepwise pharmacological management, action plans, inhaler technique and trigger control","Provide personalised asthma action plan and inhaler training","","https://ginasthma.org/","high","2025-11-10"
"COPD management","BACKED_BY","GOLD report","Condition","Guideline","routine","Assessment, pharmacotherapy, exacerbation management and pulmonary rehabilitation","Smoking cessation, vaccinations and breathlessness management","","https://goldcopd.org/","high","2025-11-10"
"Antimicrobial stewardship","BACKED_BY","WHO AMS guidance","Action","Guideline","routine","Principles to optimise antibiotic use, reduce resistance and implement stewardship programs","Use narrowest effective agent, avoid empirical prolonged courses","","https://www.who.int/teams/health-product-policy-and-standards/antimicrobial-resistance","high","2025-11-10"
"Cardiac arrest / CPR","BACKED_BY","ILCOR / Resuscitation Council guidance","Action","Guideline","emergency","Standardised adult and paediatric CPR algorithms and use of defibrillation","Start high-quality CPR and early defibrillation where indicated","","https://www.resus.org.uk/","high","2025-11-10"
"Stroke management","BACKED_BY","NICE stroke guidelines / ESO","Condition","Guideline","emergency","Acute stroke pathways including thrombolysis and timely imaging","Call stroke pathway quickly; note time of onset for reperfusion decisions","","https://www.nice.org.uk/guidance/ng128","high","2025-11-10"
"Chronic kidney disease","BACKED_BY","KDIGO clinical practice guidelines","Condition","Guideline","routine","Classification, monitoring, risk reduction and referral indications","Monitor eGFR and albuminuria; modify meds for renal function","","https://kdigo.org/","high","2025-11-10"
"Mental health (mhGAP)","BACKED_BY","WHO mhGAP Intervention Guide","Condition","Guideline","routine","Priority mental health conditions management in low-resource settings","Use stepped care, psychosocial interventions and safe referral pathways","","https://www.who.int/teams/mental-health-and-substance-use","high","2025-11-10"
"Maternal antenatal care","BACKED_BY","WHO antenatal care guidelines","Condition","Guideline","routine","Schedule of antenatal visits, screening and risk-based interventions","Encourage routine antenatal visits, supplementation and screening tests","","https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing","high","2025-11-10"
"Neonatal resuscitation","BACKED_BY","Helping Babies Breathe / WHO newborn resuscitation","Action","Guideline","emergency","Immediate steps for newborn airway, breathing and circulation at birth","Initial drying, stimulation, airway position and positive pressure ventilation as needed","","https://www.who.int/teams/reproductive-and-newborn-health/essential-newborn-care","high","2025-11-10"
"Vaccination programmes","BACKED_BY","National UIP / WHO immunization schedule","Action","Guideline","routine","Recommended schedules for childhood and adult immunisations and cold-chain practices","Complete national schedule and record vaccinations in held records","","https://www.who.int/teams/immunization-vaccines-and-biologicals","high","2025-11-10"
"Emergency triage (ED)","BACKED_BY","WHO Emergency Triage Assessment and Treatment (ETAT)","Action","Guideline","emergency","Triage framework for identifying severely ill children and adults in low-resource settings","Use triage to prioritise immediate interventions and referrals","","https://www.who.int/teams/health-care-delivery/emergency-and-trauma-care","high","2025-11-10"
"Infection prevention and control","BACKED_BY","WHO IPC core components","Action","Guideline","routine","Standard precautions, PPE, hand hygiene and outbreak control measures","Implement hand hygiene, environmental cleaning and isolation policies","","https://www.who.int/teams/infection-prevention-control","high","2025-11-10"
"Poisoning management","BACKED_BY","CDC/WHO poison management resources","Action","Guideline","emergency","Initial assessment, decontamination and referral to poison control/ED","Do not induce vomiting unless instructed; bring product information","","https://www.cdc.gov/poisoning/","high","2025-11-10"
"Apollo Hospitals","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"All India Institute of Medical Sciences (AIIMS)","LOCATED_IN","New Delhi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Fortis Healthcare","LOCATED_IN","Gurugram","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Max Healthcare","LOCATED_IN","New Delhi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Medanta (The Medicity)","LOCATED_IN","Gurugram","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Narayana Health","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Manipal Hospitals","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Kokilaben Dhirubhai Ambani Hospital","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Lilavati Hospital","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Christian Medical College (CMC) Vellore","LOCATED_IN","Vellore","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"PGIMER (Postgraduate Institute)","LOCATED_IN","Chandigarh","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Tata Memorial Hospital (TMC)","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"NIMHANS","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Sir Ganga Ram Hospital","LOCATED_IN","New Delhi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"P.D. Hinduja Hospital","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"BLK-Max Super Speciality Hospital","LOCATED_IN","New Delhi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Fortis Escorts Heart Institute","LOCATED_IN","New Delhi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Amrita Hospital (AIMS)","LOCATED_IN","Kochi","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Sankara Nethralaya","LOCATED_IN","Chennai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Jaslok Hospital","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Bombay Hospital","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"KEM Hospital (Seth GS Medical College & KEM)","LOCATED_IN","Mumbai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"CARE Hospitals","LOCATED_IN","Hyderabad","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Artemis Hospitals","LOCATED_IN","Gurugram","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Cloudnine Hospitals","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"HCG (HCG Oncology)","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Yashoda Hospitals","LOCATED_IN","Hyderabad","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Aster DM Healthcare","LOCATED_IN","Bengaluru","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"KIMS Hospitals (KIMS)","LOCATED_IN","Secunderabad","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
"Sri Ramachandra Institute / Medical Centre","LOCATED_IN","Chennai","Provider","Location","routine","","","","internal_dataset","medium","2025-11-10"
